,2014-06-30,2014-07-31,2014-08-28,2014-09-30,2014-10-31,2014-11-28,2014-12-31,2015-01-30,2015-02-27,2015-03-31,2015-04-30,2015-05-29,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-30,2015-11-30,2015-12-31,2016-01-29,2016-02-29,2016-03-31,2016-04-29,2016-05-31,2016-06-30,2016-07-29,2016-08-31,2016-09-30,2016-10-28,2016-11-30,2016-12-30,2017-01-31,2017-02-28,2017-03-31,2017-04-28,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-29,2017-10-31,2017-11-30,2017-12-29,2018-01-31,2018-02-28,2018-03-28,2018-04-30,2018-05-31,2018-06-29,2018-07-31,2018-08-31,2018-09-28,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-28,2019-04-30,2019-05-31,2019-06-28,2019-07-31,2019-08-30,2019-09-30,2019-10-31,2019-11-29,2019-12-31,2020-01-31,2020-02-28,2020-03-31,2020-04-30,2020-05-29,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-30,2020-11-27,2020-12-31,2021-01-29,2021-02-26
IOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2843264661527976,-0.2304614778654573,-0.26720532074458414,-0.29221494653190666,-0.16672666680938086,-0.32160059518519446,-0.401355684873342,-0.34169247614039727,-0.09196838527970191,,-0.2673638153314209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JSWSTEEL,-0.11889535782762932,-0.17092448647539946,-0.0644226737148878,-0.19647239760386023,,,,,,,,,,,,,,,,,,,-0.03165857289108159,-0.09484165541216465,-0.06092264161042614,0.023622357266324858,-0.06396453283410883,-0.11668247054083132,-0.15415718014420707,-0.06346135271280329,-0.16408251468035503,0.09291735226387977,-0.16855751486613219,,,,,,,,,-0.1314380557868351,,,,-0.1814747474694477,0.021560803998959946,-0.07995318227677402,-0.10847119053076362,-0.061253176949368736,0.10873335997066788,,-0.171343656144531,-0.15211694490467756,-0.11404106987582592,,,,,,,,,,,,,,,,,,,,,,,,,,0.056587192220192144
KOTAKBANK,,,,,,,,,,,,,,0.005268496159457791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.014615237056627916,,,,,,,,,,,,,0.139934616827737,,,,,,,,,,,,,,,,,
LICHSGFIN,,,,,,,,-0.026633693124108418,-0.07989782459800408,-0.22249117563765006,-0.13567948591389076,,,,-0.22947198212402328,-0.027101534874663727,,,,,,,,,,,,,,,,,,,,,,,-0.11523572898903449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LT,,,-0.0996827031867498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LUPIN,,,,,,,,,,,-0.1643644595983349,-0.010953730021863282,0.01935117837726486,-0.14514449432053608,0.09409650858907626,,-0.10139868801374886,-0.10761170909571377,-0.015183660288531665,-0.10637866684881532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.027960855481281667,,,
M&M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.14572068997204907,-0.0031920670442440614,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARICO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.17076689249260307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARUTI,,,,,0.02099678453798615,-0.0648117222423835,-0.07302263499746554,0.024296142039791243,,-0.056254767742274246,,-0.07264502995748752,-0.008833353267614398,0.001256248336964144,-0.11349736391600151,0.0528848486388708,,-0.04485607403871847,-0.06088727036143371,-0.18432999514121884,-0.30040699653892994,0.08560361664361497,,,,,,,,,,,,-0.04746028582020073,0.011386662660441266,0.02032608799735844,,0.011467481740662464,-0.05451980416456964,-0.017467040863387753,,,,,-0.12230241667615131,-0.048264302390306976,-0.06647332640903228,-0.09011174136682072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCDOWELL-N,,,,,,,,,,,,,,,,-0.063056925068781,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.11661907347448362,-0.0011991440570361114,,0.14445240533347437,-0.08493565461616279,-0.00693880745717354,,,,,,,,,,,,,,,,,,,,,,0.09298366894611504,,,,,,,,,,
